city;Latitude;Longitude
Hooge Mierde;51.3986;5.1409
Wervershoof;52.7347;5.1492
Herpt;51.7333;5.15
Oud-Wulven;52.0444;5.155
Everdingen;51.9647;5.1564
Bussum;52.2733;5.1611
Naarden;52.2953;5.1622
Reusel;51.3617;5.1631
Drunen;51.6833;5.1667
Nederhemert;51.7652;5.1682
Houten;52.0261;5.1728
Diessen;51.4739;5.1747
Hoogkarspel;52.6947;5.1778
Hilversum;52.23;5.18
Nieuwkuijk;51.6936;5.1806
Moergestel;51.55;5.1833
Hedikhuizen;51.7356;5.1839
Schalkwijk;51.9939;5.1872
Beesd;51.8875;5.1911
Bunnik;52.0672;5.1969
Bilthoven;52.1283;5.1986
Oisterwijk;51.5833;5.2
Venhuizen;52.6624;5.2
Vlijmen;51.6953;5.2119
West-Terschelling;53.3608;5.2156
Bladel;51.3667;5.2167
Grootebroek;52.6989;5.2189
Kerkwijk;51.7744;5.2194
Andijk;52.75;5.22
Ammerzoden;51.75;5.22
Haaren;51.6017;5.2228
Almere;52.3758;5.2256
Helvoirt;51.6308;5.2297
Laren;52.2544;5.2317
Bokhoven;51.7372;5.2319
Zeist;52.0833;5.2333
Culemborg;51.95;5.2333
Odijk;52.0503;5.2333
Bruchem;51.7853;5.2367
Blaricum;52.2728;5.2422
Werkhoven;52.0239;5.2431
Deil;51.8842;5.2442
Zaltbommel;51.8;5.25
Bovenkarspel;52.7;5.25
Huizen;52.2994;5.2531
Rijsenburg;52.0436;5.2531
Waardenburg;51.8322;5.2558
Eemnes;52.2539;5.2572
Hedel;51.7467;5.2592
Engelen;51.7208;5.2658
Tricht;51.89;5.2725
Sterkenburg;52.0223;5.2826
Neerijnen;51.8333;5.2833
Baarn;52.2117;5.2875
Geldermalsen;51.8789;5.2897
Esch;51.6103;5.2906
Enkhuizen;52.7033;5.2917
Soest;52.1733;5.2917
Buurmalsen;51.8928;5.2925
Vught;51.6558;5.2936
Opijnen;51.8278;5.2983
Cothen;51.9961;5.3097
Oirschot;51.5047;5.3128
Eersel;51.3572;5.3147
